Drug1,Drug2,Simcomp_Score,,,
C06683,C06881,0.639723,,,
C06683,C08111,0.608696,,,
C06683,C06889,0.545988,,,
C06683,C06880,0.49789,,,
C06683,C06894,0.489362,,,
C06683,C06895,0.460674,,,
C06683,C07139,0.437908,,,
C06683,C06883,0.414634,,,
C06683,C06574,0.413043,,,
C06683,C06827,0.404255,,,
C06683,C05551,0.39738,,,
C06683,C06923,0.370656,,,
C06683,D02222,0.337325,,,
C06683,C14034,0.322034,,,
C06683,C07770,0.288056,,,
C06683,D07908,0.260504,,,
C06683,C07771,0.255144,,,
C06683,C06665,0.25,,,
C06683,C06662,0.241379,,,
C06683,C07663,0.239243,,,
C06683,C01675,0.22093,,,
C06683,C07225,0.205788,,,
C06683,C12012,0.205165,,,
C06683,C05349,0.2,,,
C06683,C08092,0.193738,,,
C06683,D03895,0.190893,,,
C06683,C08146,0.179673,,,
C06683,C07661,0.177474,,,
C06683,C06973,0.174603,,,
C06683,C15820,0.161017,,,
C06683,C07268,0.158537,,,
C06683,C06914,0.141397,,,
C06683,C15643,0.132686,,,
C06683,C01965,0.125461,,,
C06683,C12013,0.117438,,,
C06683,C07321,0.114754,,,
C06683,C07660,0.114754,,,
C06683,C07203,0.101512,,,
C06683,C06688,0.099138,,,
C06683,C06820,0.097561,,,
C06683,C06689,0.097202,,,
C06683,C06838,0.095406,,,
C06683,C01918,0.061693,,,
C06683,D00322,0.060606,,,
C06683,C13768,0.056371,,,
C06683,C07315,0.055556,,,
C06683,C06912,0.044944,,,
C06683,C00397,0.038407,,,
C06683,C06573,0.037182,,,
C06688,C06688,1,,,
C06688,D07908,0.304348,,,
C06688,C06573,0.285856,,,
C06688,C06973,0.25,,,
C06688,C07225,0.245283,,,
C06688,C07321,0.233244,,,
C06688,C07660,0.233244,,,
C06688,C08092,0.214286,,,
C06688,C07661,0.214099,,,
C06688,C06894,0.209781,,,
C06688,D02222,0.206897,,,
C06688,C14034,0.194379,,,
C06688,C06885,0.193467,,,
C06688,C12012,0.192053,,,
C06688,C05349,0.17801,,,
C06688,C07663,0.176471,,,
C06688,C15643,0.175,,,
C06688,C06914,0.174194,,,
C06688,C06883,0.168421,,,
C06688,C08146,0.163399,,,
C06688,C01965,0.159618,,,
C06688,C12013,0.155811,,,
C06688,C06923,0.150121,,,
C06688,C06827,0.147959,,,
C06688,C05551,0.145833,,,
C06688,C06574,0.143959,,,
C06688,C08111,0.139535,,,
C06688,C07268,0.132867,,,
C06688,C08114,0.132765,,,
C06688,C06895,0.129442,,,
C06688,C06689,0.127036,,,
C06688,C06820,0.124197,,,
C06688,D03895,0.117861,,,
C06688,C06665,0.115538,,,
C06688,C06683,0.108696,,,
C06688,C06912,0.099624,,,
C06688,C07139,0.097561,,,
C06688,C15820,0.09673,,,
C06688,D00322,0.090226,,,
C06688,C01675,0.088861,,,
C06688,C08110,0.085919,,,
C06688,C06838,0.084337,,,
C06688,C06881,0.082005,,,
C06688,C06889,0.075157,,,
C06688,C06662,0.072902,,,
C06688,C06880,0.072235,,,
C06688,C13768,0.062366,,,
C06688,C07315,0.061599,,,
C06688,C01918,0.048128,,,
C06688,C07770,0.047745,,,
C06688,C07771,0.044226,,,
C06688,C07203,0.013514,,,
C06689,C06689,1,,,
C06689,C15820,0.460674,,,
C06689,C12013,0.293984,,,
C06689,C06820,0.252059,,,
C06689,C06838,0.248097,,,
C06689,C06883,0.210728,,,
C06689,C06912,0.208548,,,
C06689,C00397,0.199001,,,
C06689,C14034,0.194868,,,
C06689,C06923,0.187291,,,
C06689,C06973,0.175994,,,
C06689,C06827,0.175966,,,
C06689,C12012,0.163664,,,
C06689,C06889,0.153846,,,
C06689,C06573,0.153094,,,
C06689,C06895,0.151566,,,
C06689,C07663,0.151369,,,
C06689,C06914,0.150959,,,
C06689,C06574,0.148649,,,
C06689,C07661,0.147541,,,
C06689,C01918,0.146245,,,
C06689,C05551,0.140203,,,
C06689,D07908,0.139735,,,
C06689,C07139,0.136929,,,
C06689,C06894,0.134352,,,
C06689,C07225,0.131783,,,
C06689,C06688,0.124837,,,
C06689,C06881,0.12253,,,
C06689,C06683,0.121988,,,
C06689,C01965,0.120543,,,
C06689,C08110,0.116505,,,
C06689,C15643,0.115506,,,
C06689,D02222,0.113801,,,
C06689,C06880,0.113725,,,
C06689,C08146,0.109299,,,
C06689,C08114,0.107595,,,
C06689,C01675,0.107438,,,
C06689,C06885,0.105919,,,
C06689,D03895,0.104928,,,
C06689,C08111,0.103501,,,
C06689,C05349,0.093376,,,
C06689,C07321,0.091909,,,
C06689,C07660,0.091909,,,
C06689,C08092,0.090909,,,
C06689,C06662,0.082251,,,
C06689,C07315,0.081995,,,
C06689,C06665,0.076417,,,
C06689,C07268,0.072925,,,
C06689,C07771,0.071429,,,
C06689,C13768,0.067926,,,
C06689,C07770,0.06599,,,
C06689,D00322,0.055118,,,
C06689,C07203,0.024349,,,
C06820,C06820,1,,,
C06820,C00397,0.759259,,,
C06820,C01918,0.607516,,,
C06820,C06573,0.342365,,,
C06820,C06914,0.310861,,,
C06820,C06838,0.302578,,,
C06820,C06912,0.302578,,,
C06820,C06689,0.252059,,,
C06820,D02222,0.238938,,,
C06820,C06665,0.206897,,,
C06820,C15643,0.198686,,,
C06820,D07908,0.196319,,,
C06820,C08092,0.196262,,,
C06820,C06973,0.152695,,,
C06820,D03895,0.147011,,,
C06820,C07225,0.132075,,,
C06820,C06688,0.124197,,,
C06820,C05551,0.122278,,,
C06820,C06574,0.122112,,,
C06820,C06895,0.122112,,,
C06820,C06827,0.12013,,,
C06820,C08110,0.11465,,,
C06820,C08114,0.111111,,,
C06820,C06923,0.109445,,,
C06820,C06894,0.109422,,,
C06820,C12012,0.10828,,,
C06820,C06881,0.107784,,,
C06820,C06885,0.107784,,,
C06820,C06662,0.106796,,,
C06820,C07321,0.105919,,,
C06820,C07660,0.105919,,,
C06820,C07139,0.105769,,,
C06820,C01675,0.103679,,,
C06820,C08111,0.103152,,,
C06820,C14034,0.100543,,,
C06820,C06683,0.097561,,,
C06820,C06889,0.096257,,,
C06820,C12013,0.092896,,,
C06820,C06883,0.089588,,,
C06820,C06880,0.083455,,,
C06820,C07663,0.077586,,,
C06820,C08146,0.075949,,,
C06820,C13768,0.069569,,,
C06820,C07770,0.043165,,,
C06820,C07771,0.038961,,,
C06820,C07203,0.036468,,,
C06820,C15820,0.033973,,,
C06820,C05349,0.02526,,,
C06820,C07661,0.024182,,,
C06827,C06827,1,,,
C06827,C06574,0.95572,,,
C06827,C06895,0.853147,,,
C06827,C05551,0.843972,,,
C06827,C07139,0.6875,,,
C06827,C14034,0.641791,,,
C06827,C06894,0.60221,,,
C06827,C06923,0.586022,,,
C06827,C08110,0.523546,,,
C06827,C06883,0.509054,,,
C06827,C08114,0.5,,,
C06827,C06889,0.485588,,,
C06827,C07770,0.477663,,,
C06827,C06885,0.475,,,
C06827,C06881,0.471322,,,
C06827,D07908,0.465116,,,
C06827,D02222,0.462766,,,
C06827,C08111,0.44186,,,
C06827,C07771,0.432749,,,
C06827,C06880,0.408115,,,
C06827,C06683,0.404255,,,
C06827,C06973,0.336207,,,
C06827,C06662,0.333333,,,
C06827,C07225,0.317992,,,
C06827,C06665,0.311475,,,
C06827,C01675,0.281407,,,
C06827,C08146,0.270983,,,
C06827,C07268,0.260504,,,
C06827,D03895,0.255605,,,
C06827,C15643,0.223629,,,
C06827,C15820,0.220703,,,
C06827,D00322,0.220096,,,
C06827,C07663,0.219512,,,
C06827,C12012,0.202003,,,
C06827,C05349,0.2,,,
C06827,C06689,0.175966,,,
C06827,C08092,0.17506,,,
C06827,C06914,0.155462,,,
C06827,C07315,0.153846,,,
C06827,C06688,0.147959,,,
C06827,C12013,0.132812,,,
C06827,C06820,0.12013,,,
C06827,C07321,0.111111,,,
C06827,C07660,0.111111,,,
C06827,C07661,0.108949,,,
C06827,C01965,0.108597,,,
C06827,C01918,0.099291,,,
C06827,C06573,0.086705,,,
C06827,C06912,0.077128,,,
C06827,C06838,0.074271,,,
C06827,C13768,0.049751,,,
C06827,C00397,0.046312,,,
C06827,C07203,0.026316,,,
C06838,C06838,1,,,
C06838,C06912,0.884817,,,
C06838,C01918,0.332335,,,
C06838,C00397,0.323308,,,
C06838,C06820,0.322314,,,
C06838,C15643,0.24269,,,
C06838,C06689,0.213916,,,
C06838,C06973,0.212534,,,
C06838,C06573,0.212425,,,
C06838,C07663,0.206657,,,
C06838,C06914,0.200586,,,
C06838,C07661,0.183099,,,
C06838,D02222,0.181556,,,
C06838,C01675,0.176471,,,
C06838,C07225,0.16129,,,
C06838,C08092,0.155015,,,
C06838,D03895,0.151179,,,
C06838,C12012,0.144509,,,
C06838,C08146,0.142857,,,
C06838,C05349,0.129707,,,
C06838,C15820,0.116006,,,
C06838,C06662,0.112903,,,
C06838,D07908,0.101591,,,
C06838,C07770,0.098901,,,
C06838,C06894,0.092545,,,
C06838,C08114,0.092328,,,
C06838,C08110,0.091877,,,
C06838,C06885,0.091371,,,
C06838,C07771,0.088825,,,
C06838,C06665,0.088534,,,
C06838,C08111,0.08802,,,
C06838,C06881,0.087231,,,
C06838,C01965,0.085714,,,
C06838,C06688,0.084337,,,
C06838,C06895,0.084011,,,
C06838,C06683,0.083916,,,
C06838,C06880,0.077694,,,
C06838,C05551,0.076294,,,
C06838,C06883,0.075949,,,
C06838,C06574,0.075269,,,
C06838,C07321,0.07513,,,
C06838,C07660,0.07513,,,
C06838,C06827,0.074271,,,
C06838,C07139,0.074271,,,
C06838,C06889,0.070615,,,
C06838,C06923,0.069652,,,
C06838,C14034,0.066514,,,
C06838,C07268,0.037464,,,
C06838,C12013,0.021985,,,
C06880,C06880,1,,,
C06880,C08110,0.550388,,,
C06880,C08114,0.530864,,,
C06880,C06885,0.505882,,,
C06880,C06881,0.498829,,,
C06880,C06683,0.49789,,,
C06880,C08111,0.472527,,,
C06880,C06895,0.472081,,,
C06880,C06889,0.425743,,,
C06880,C06883,0.420959,,,
C06880,C06894,0.418919,,,
C06880,C06574,0.418093,,,
C06880,C06827,0.408115,,,
C06880,C05551,0.403941,,,
C06880,C07771,0.398964,,,
C06880,C06923,0.39738,,,
C06880,C07139,0.381733,,,
C06880,C14034,0.357553,,,
C06880,C07770,0.344538,,,
C06880,D02222,0.342282,,,
C06880,D07908,0.292776,,,
C06880,C06665,0.292683,,,
C06880,C06662,0.287671,,,
C06880,C08092,0.227273,,,
C06880,D03895,0.217565,,,
C06880,C01675,0.214751,,,
C06880,C07663,0.197053,,,
C06880,C07203,0.167109,,,
C06880,C12012,0.164902,,,
C06880,C06914,0.160542,,,
C06880,C07225,0.154499,,,
C06880,C07321,0.146617,,,
C06880,C07660,0.146617,,,
C06880,C07661,0.143911,,,
C06880,C06973,0.137521,,,
C06880,C05349,0.134615,,,
C06880,C15820,0.133391,,,
C06880,C15643,0.120996,,,
C06880,C06689,0.113725,,,
C06880,D00322,0.111111,,,
C06880,C12013,0.107011,,,
C06880,C07268,0.101322,,,
C06880,C08146,0.090226,,,
C06880,C06838,0.089987,,,
C06880,C06820,0.083455,,,
C06880,C01965,0.08,,,
C06880,C06688,0.072235,,,
C06880,C01918,0.068581,,,
C06880,C13768,0.046512,,,
C06880,C00397,0.042654,,,
C06880,C07315,0.041667,,,
C06880,C06573,0.039916,,,
C06880,C06912,0.036145,,,
C06881,C06881,1,,,
C06881,C08110,0.869159,,,
C06881,C08114,0.80758,,,
C06881,C06885,0.763085,,,
C06881,C06889,0.743341,,,
C06881,C08111,0.704835,,,
C06881,C06683,0.639723,,,
C06881,C07139,0.594595,,,
C06881,C06894,0.563275,,,
C06881,C06895,0.542553,,,
C06881,C06880,0.498829,,,
C06881,C06574,0.483376,,,
C06881,C06827,0.471322,,,
C06881,C05551,0.465296,,,
C06881,C06883,0.405975,,,
C06881,C06923,0.394336,,,
C06881,D02222,0.392111,,,
C06881,D07908,0.368209,,,
C06881,C14034,0.362764,,,
C06881,C07770,0.340782,,,
C06881,C07771,0.291866,,,
C06881,C06665,0.261905,,,
C06881,C01675,0.241685,,,
